Random seed: 42
[704, 0.5556655340828403]
[809, 0.6375146591845596]
[278, 0.569768964262572]
[154, 0.8383497437114557]
[963, 0.7726832668741749]
[654, 0.7109609098426353]
[80, 0.5468476199307962]
[288, 0.7526776440516811]
[77, 0.7806225314693065]
[783, 0.8249422188897616]
[608, 0.7097599104808294]
[509, 0.7946328419379544]
[878, 0.934650160396467]
[827, 0.902909625916404]
[764, 0.7113071990767512]
[334, 0.5777397499058907]
[831, 0.6682972725563134]
[144, 0.6899636503186687]
[417, 0.9237471831737298]
[668, 0.6322604336110065]
[94, 0.8648658933469089]
[599, 0.5624130814266046]
[994, 0.6892671886041768]
[615, 0.6465891407035464]
[693, 0.809259876182123]
[932, 0.6808175130834883]
[246, 0.8522859181074618]
[96, 0.8306316592838551]
[841, 0.6446939818010535]
[131, 0.9276588605075735]
Gen 0: Best Score = 0.1428, Params = [827, 0.902909625916404]
[154, 0.934650160396467]
[131, 0.8648658933469089]
[94, 0.934650160396467]
[270, 0.7526776440516811]
[80, 0.778379304012218]
[144, 0.6465891407035464]
[300, 0.5777397499058907]
[827, 0.934650160396467]
[96, 0.6465891407035464]
[154, 0.8383497437114557]
[719, 0.7109609098426353]
[80, 0.809259876182123]
[608, 0.7097599104808294]
[288, 0.7526776440516811]
[144, 0.7589600153505356]
[144, 0.6899636503186687]
[458, 0.8648658933469089]
[144, 0.6209672852868018]
[86, 0.6682972725563134]
[417, 1.0]
[827, 0.902909625916404]
[676, 0.934650160396467]
[654, 0.7113071990767512]
[94, 0.8648658933469089]
[288, 0.7526776440516811]
[131, 0.934650160396467]
[129, 0.6899636503186687]
[144, 0.6465891407035464]
[747, 0.7109609098426353]
[288, 0.7526776440516811]
Gen 1: Best Score = 0.1343, Params = [80, 0.809259876182123]
[458, 0.8279454084568493]
[288, 0.8383497437114557]
[300, 0.677409879646513]
[144, 0.6465891407035464]
[154, 0.8648658933469089]
[105, 0.7526776440516811]
[300, 0.5777397499058907]
[94, 0.934650160396467]
[84, 0.6465891407035464]
[654, 0.7113071990767512]
[80, 0.7283338885639108]
[80, 0.809259876182123]
[144, 0.7112480547739012]
[288, 0.677409879646513]
[270, 0.7526776440516811]
[129, 0.8411851443568203]
[80, 0.809259876182123]
[243, 0.6465891407035464]
[88, 0.8411851443568203]
[458, 0.8648658933469089]
[300, 0.809259876182123]
[270, 0.7526776440516811]
[154, 0.5777397499058907]
[154, 0.6682972725563134]
[417, 0.7589600153505356]
[131, 0.6465891407035464]
[116, 0.934650160396467]
[417, 0.934650160396467]
[608, 0.7097599104808294]
[270, 0.7526776440516811]
Gen 2: Best Score = 0.0846, Params = [270, 0.7589600153505356]
[94, 0.934650160396467]
[417, 0.7589600153505356]
[270, 0.677409879646513]
[84, 0.809259876182123]
[668, 0.8411851443568203]
[288, 0.677409879646513]
[458, 0.8279454084568493]
[144, 0.7112480547739012]
[131, 0.6465891407035464]
[297, 0.7526776440516811]
[144, 0.8411851443568203]
[144, 0.7526776440516811]
[288, 0.677409879646513]
[300, 0.809259876182123]
[300, 0.5777397499058907]
[84, 0.7526776440516811]
[105, 0.7589600153505356]
[144, 0.7823728602512914]
[270, 0.7589600153505356]
[243, 0.7526776440516811]
[288, 0.677409879646513]
[80, 0.7526776440516811]
[288, 0.7526776440516811]
[84, 0.6465891407035464]
[458, 0.8279454084568493]
[458, 0.9513524826815999]
[129, 0.8411851443568203]
[300, 0.677409879646513]
[288, 0.677409879646513]
[94, 0.6465891407035464]
Gen 3: Best Score = 0.0821, Params = [288, 0.6465891407035464]
[288, 0.6465891407035464]
[84, 0.809259876182123]
[668, 0.7589600153505356]
[300, 0.677409879646513]
[92, 0.677409879646513]
[458, 0.9513524826815999]
[243, 0.8279454084568493]
[270, 0.7526776440516811]
[80, 0.677409879646513]
[243, 0.7589600153505356]
[131, 0.6465891407035464]
[144, 0.6401232492965111]
[84, 0.6465891407035464]
[117, 0.7526776440516811]
[84, 0.6465891407035464]
[458, 0.9107399493025343]
[288, 0.6465891407035464]
[270, 0.809259876182123]
[297, 0.7526776440516811]
[144, 0.8411851443568203]
[300, 0.677409879646513]
[288, 0.7589600153505356]
[75, 0.809259876182123]
[129, 0.809259876182123]
[84, 0.7526776440516811]
[84, 0.7526776440516811]
[270, 0.677409879646513]
[297, 0.7526776440516811]
[300, 0.677409879646513]
[300, 0.8411851443568203]
Gen 4: Best Score = 0.0899, Params = [117, 0.7589600153505356]
[117, 0.809259876182123]
[84, 0.7526776440516811]
[270, 0.6465891407035464]
[458, 0.677409879646513]
[297, 0.7526776440516811]
[326, 0.7526776440516811]
[117, 0.677409879646513]
[243, 0.6465891407035464]
[128, 0.7526776440516811]
[458, 0.7589600153505356]
[288, 0.7589600153505356]
[117, 0.7589600153505356]
[326, 0.8279454084568493]
[297, 0.7526776440516811]
[270, 0.6096688916818617]
[288, 0.7589600153505356]
[300, 0.677409879646513]
[267, 0.8411851443568203]
[144, 0.6401232492965111]
[84, 0.677409879646513]
[129, 0.809259876182123]
[288, 0.7526776440516811]
[270, 0.7526776440516811]
[270, 0.809259876182123]
[243, 0.7526776440516811]
[300, 0.677409879646513]
[297, 0.7526776440516811]
[84, 0.7526776440516811]
[144, 0.57611092436686]
[84, 0.6465891407035464]
Gen 5: Best Score = 0.0723, Params = [270, 0.6465891407035464]
[243, 0.6401232492965111]
[243, 0.5819302266331918]
[240, 0.7526776440516811]
[243, 0.6465891407035464]
[316, 0.8348560168855892]
[84, 0.6465891407035464]
[288, 0.7589600153505356]
[270, 0.6465891407035464]
[326, 0.8348560168855892]
[129, 0.809259876182123]
[288, 0.7526776440516811]
[288, 0.677409879646513]
[300, 0.677409879646513]
[84, 0.7526776440516811]
[458, 0.6830640138154821]
[84, 0.7526776440516811]
[288, 0.7526776440516811]
[128, 0.677409879646513]
[316, 0.6465891407035464]
[297, 0.7526776440516811]
[243, 0.8279454084568493]
[288, 0.7589600153505356]
[458, 0.7526776440516811]
[458, 0.6830640138154821]
[288, 0.7589600153505356]
[267, 0.7589600153505356]
[84, 0.7526776440516811]
[326, 0.7589600153505356]
[84, 0.7526776440516811]
[243, 0.7526776440516811]
Gen 6: Best Score = 0.0466, Params = [243, 0.7451508676111643]
[75, 0.6096688916818617]
[84, 0.6465891407035464]
[243, 0.7526776440516811]
[243, 0.7451508676111643]
[288, 0.7451508676111643]
[326, 0.7526776440516811]
[243, 0.5819302266331918]
[243, 0.5819302266331918]
[84, 0.6465891407035464]
[330, 0.677409879646513]
[243, 0.7526776440516811]
[297, 0.7589600153505356]
[503, 0.7589600153505356]
[84, 0.7526776440516811]
[240, 0.677409879646513]
[259, 0.7589600153505356]
[84, 0.7526776440516811]
[297, 0.6465891407035464]
[458, 0.5819302266331918]
[288, 0.7589600153505356]
[288, 0.677409879646513]
[288, 0.7526776440516811]
[243, 0.7526776440516811]
[243, 0.6465891407035464]
[218, 0.7526776440516811]
[270, 0.6465891407035464]
[243, 0.8279454084568493]
[288, 0.6830640138154821]
[115, 0.7526776440516811]
[267, 0.7526776440516811]
Gen 7: Best Score = 0.0542, Params = [326, 0.7526776440516811]
[243, 0.677409879646513]
[243, 0.7526776440516811]
[270, 0.6465891407035464]
[297, 0.6465891407035464]
[458, 0.5819302266331918]
[326, 0.7526776440516811]
[243, 0.7526776440516811]
[243, 0.7451508676111643]
[297, 0.7589600153505356]
[115, 0.8348560168855892]
[267, 0.8279454084568493]
[326, 0.7526776440516811]
[84, 0.7526776440516811]
[270, 0.6465891407035464]
[288, 0.6465891407035464]
[243, 0.7451508676111643]
[288, 0.7589600153505356]
[267, 0.8348560168855892]
[267, 0.7526776440516811]
[297, 0.677409879646513]
[288, 0.7526776440516811]
[330, 0.677409879646513]
[297, 0.8348560168855892]
[270, 0.7589600153505356]
[243, 0.7526776440516811]
[288, 0.7526776440516811]
[293, 0.7451508676111643]
[243, 0.677409879646513]
[363, 0.6465891407035464]
[267, 0.677409879646513]
Gen 8: Best Score = 0.0591, Params = [267, 0.677409879646513]
[267, 0.7451508676111643]
[267, 0.8348560168855892]
[267, 0.7513704151970303]
[243, 0.8279454084568493]
[243, 0.8279454084568493]
[243, 0.7451508676111643]
[243, 0.7451508676111643]
[267, 0.7526776440516811]
[270, 0.6465891407035464]
[293, 0.7451508676111643]
[297, 0.7589600153505356]
[326, 0.8348560168855892]
[297, 0.7589600153505356]
[267, 0.677409879646513]
[458, 0.5819302266331918]
[267, 0.677409879646513]
[288, 0.8348560168855892]
[330, 0.6465891407035464]
[297, 0.7589600153505356]
[288, 0.8348560168855892]
[243, 0.8279454084568493]
[288, 0.6465891407035464]
[288, 0.7589600153505356]
[288, 0.6465891407035464]
[326, 0.7526776440516811]
[297, 0.8348560168855892]
[288, 0.7589600153505356]
[358, 0.7526776440516811]
[326, 0.7451508676111643]
[297, 0.5819302266331918]
Gen 9: Best Score = 0.0524, Params = [267, 0.6465891407035464]
[240, 0.9183416185741482]
[243, 0.8279454084568493]
[243, 0.7451508676111643]
[297, 0.677409879646513]
[288, 0.7513704151970303]
[293, 0.8348560168855892]
[358, 0.7451508676111643]
[270, 0.7112480547739012]
[243, 0.7451508676111643]
[297, 0.7589600153505356]
[297, 0.7589600153505356]
[270, 0.8348560168855892]
[288, 0.7589600153505356]
[288, 0.8348560168855892]
[297, 0.5819302266331918]
[358, 0.7526776440516811]
[293, 0.8348560168855892]
[458, 0.5819302266331918]
[297, 0.8348560168855892]
[259, 0.6465891407035464]
[267, 0.7589600153505356]
[243, 0.7451508676111643]
[326, 0.8348560168855892]
[243, 0.7526776440516811]
[316, 0.6465891407035464]
[240, 0.677409879646513]
[267, 0.6465891407035464]
[267, 0.7451508676111643]
[240, 0.7526776440516811]
[288, 0.6465891407035464]
Gen 10: Best Score = 0.0586, Params = [267, 0.7451508676111643]
[240, 0.8279454084568493]
[240, 0.6465891407035464]
[288, 0.6830640138154821]
[358, 0.6465891407035464]
[259, 0.8348560168855892]
[288, 0.7451508676111643]
[243, 0.7589600153505356]
[358, 0.6706357808500479]
[297, 0.6096688916818617]
[297, 0.7112480547739012]
[297, 0.677409879646513]
[358, 0.8348560168855892]
[288, 0.6465891407035464]
[358, 0.7526776440516811]
[293, 0.7526776440516811]
[240, 0.7526776440516811]
[243, 0.7112480547739012]
[240, 0.9183416185741482]
[288, 0.8279454084568493]
[240, 0.9183416185741482]
[288, 0.677409879646513]
[240, 0.677409879646513]
[267, 0.6465891407035464]
[288, 0.7589600153505356]
[297, 0.7589600153505356]
[216, 0.7526776440516811]
[297, 0.677409879646513]
[240, 0.7513704151970303]
[267, 0.7451508676111643]
[243, 0.6706357808500479]
Gen 11: Best Score = 0.0714, Params = [267, 0.6465891407035464]
[240, 0.9183416185741482]
[293, 0.7526776440516811]
[288, 0.6147576124339339]
[288, 0.6465891407035464]
[358, 0.8348560168855892]
[243, 0.8279454084568493]
[288, 0.8279454084568493]
[288, 0.6706357808500479]
[288, 0.7451508676111643]
[216, 0.7589600153505356]
[240, 0.677409879646513]
[240, 0.9183416185741482]
[297, 0.7112480547739012]
[297, 0.7112480547739012]
[240, 0.9183416185741482]
[288, 0.6830640138154821]
[264, 0.677409879646513]
[243, 0.6706357808500479]
[240, 0.7451508676111643]
[288, 0.9183416185741482]
[326, 0.7589600153505356]
[267, 0.6465891407035464]
[243, 0.7823728602512914]
[358, 0.8348560168855892]
[288, 0.7589600153505356]
[322, 0.677409879646513]
[264, 0.9183416185741482]
[240, 0.5819302266331918]
[293, 0.6096688916818617]
[297, 0.7526776440516811]
Gen 12: Best Score = 0.0368, Params = [288, 0.8279454084568493]
[288, 1.0]
[267, 0.7041355742261622]
[358, 0.9183416185741482]
[218, 0.6706357808500479]
[358, 0.7513704151970303]
[297, 0.8279454084568493]
[240, 0.9183416185741482]
[243, 0.8279454084568493]
[264, 0.7451508676111643]
[288, 0.7589600153505356]
[259, 0.7589600153505356]
[288, 0.6706357808500479]
[297, 0.7112480547739012]
[288, 0.8196659543722808]
[293, 0.7451508676111643]
[259, 0.7451508676111643]
[288, 0.6706357808500479]
[288, 0.6147576124339339]
[297, 0.7526776440516811]
[358, 0.8348560168855892]
[288, 0.8279454084568493]
[240, 0.7451508676111643]
[263, 0.7526776440516811]
[288, 0.8279454084568493]
[293, 0.6096688916818617]
[326, 0.6830640138154821]
[288, 0.9107399493025343]
[240, 0.6096688916818617]
[240, 0.677409879646513]
[288, 0.6465891407035464]
Gen 13: Best Score = 0.0825, Params = [259, 0.7589600153505356]
[240, 0.9183416185741482]
[218, 0.6706357808500479]
[259, 0.7589600153505356]
[288, 0.6706357808500479]
[240, 0.9183416185741482]
[297, 0.6706357808500479]
[288, 0.7589600153505356]
[263, 0.5487020025136755]
[288, 0.7589600153505356]
[259, 0.8279454084568493]
[259, 0.7589600153505356]
[288, 0.8348560168855892]
[316, 0.6830640138154821]
[288, 0.6706357808500479]
[218, 0.8279454084568493]
[264, 0.7451508676111643]
[297, 0.7526776440516811]
[288, 1.0]
[288, 0.6465891407035464]
[288, 0.7589600153505356]
[239, 0.7526776440516811]
[240, 0.677409879646513]
[240, 1.0]
[240, 0.9183416185741482]
[288, 0.6762333736773274]
[297, 0.7589600153505356]
[358, 0.7513704151970303]
[288, 0.7376993589350528]
[267, 0.7041355742261622]
[259, 1.0]
Gen 14: Best Score = 0.0675, Params = [316, 0.7589600153505356]
[240, 0.9183416185741482]
[316, 0.7589600153505356]
[196, 1.0]
[316, 0.6706357808500479]
[240, 0.8265074567167334]
[358, 0.7513704151970303]
[288, 0.7112480547739012]
[240, 0.9183416185741482]
[218, 0.6465891407035464]
[288, 0.7376993589350528]
[288, 0.7526776440516811]
[288, 0.7589600153505356]
[316, 0.9183416185741482]
[288, 0.6465891407035464]
[196, 0.8279454084568493]
[288, 1.0]
[288, 0.7513704151970304]
[259, 1.0]
[288, 0.6465891407035464]
[297, 0.7376993589350528]
[240, 0.9183416185741482]
[240, 1.0]
[288, 0.7513704151970303]
[262, 0.7526776440516811]
[259, 0.8348560168855892]
