[216, 0.7797328770554309]
[956, 0.7672169804365836]
[625, 0.9861039199068103]
[362, 0.7868650348114103]
[349, 0.9152825288959824]
[109, 0.9347878066414625]
[336, 0.9553317072383213]
[104, 0.6320490722850545]
[144, 0.7057351072184737]
[609, 0.5815621170499699]
[434, 0.8431874177504564]
[381, 0.9119023660572816]
[591, 0.5633237876439063]
[526, 0.9816851565313455]
[582, 0.6884836309484301]
[266, 0.9614247522390138]
[557, 0.6903925098532702]
[189, 0.7218459495782383]
[184, 0.6553429777558065]
[129, 0.7630792734462615]
Gen 0: Best Score = 0.0923, Params = [644, 0.5633237876439063]
[336, 0.9553317072383213]
[336, 0.9553317072383213]
[104, 0.5633237876439063]
[609, 0.5815621170499699]
[956, 0.6981674521972911]
[336, 0.9553317072383213]
[336, 0.9553317072383213]
[644, 0.5633237876439063]
[483, 0.6903925098532702]
[663, 0.5292215265154726]
[663, 0.5633237876439063]
[526, 0.6320490722850545]
[609, 0.6397183287549669]
[104, 0.6320490722850545]
[582, 0.6884836309484301]
[336, 0.6320490722850545]
[956, 0.7672169804365836]
[609, 0.6320490722850545]
[557, 0.6903925098532702]
[336, 0.9553317072383213]
Gen 1: Best Score = 0.1134, Params = [336, 0.6981674521972911]
[663, 0.5633237876439063]
[609, 0.5633237876439063]
[336, 0.6981674521972911]
[104, 0.6904952823929252]
[609, 0.5815621170499699]
[609, 0.6320490722850545]
[609, 0.5815621170499699]
[104, 0.6083896906554189]
[104, 0.6320490722850545]
[956, 0.6981674521972911]
[956, 0.6981674521972911]
[526, 0.6826129980678589]
[526, 0.5633237876439063]
[336, 0.9553317072383213]
[663, 0.5633237876439063]
[669, 0.5815621170499699]
[336, 0.9553317072383213]
[609, 0.5292215265154726]
[582, 0.6884836309484301]
[663, 0.5292215265154726]
Gen 2: Best Score = 0.0979, Params = [609, 0.5768514639018651]
[609, 0.5633237876439063]
[104, 0.5292215265154726]
[722, 0.5633237876439063]
[609, 0.5633237876439063]
[956, 0.6981674521972911]
[603, 0.5292215265154726]
[582, 0.5069914088795158]
[100, 0.6083896906554189]
[526, 0.6826129980678589]
[663, 0.5633237876439063]
[663, 0.5633237876439063]
[609, 0.6981674521972911]
[663, 0.5292215265154726]
[663, 0.5292215265154726]
[526, 0.9553317072383213]
[609, 0.5768514639018651]
[609, 0.5815621170499699]
[554, 0.5292215265154726]
[609, 0.5815621170499699]
[669, 0.5292215265154726]
Gen 3: Best Score = 0.0911, Params = [609, 0.5633237876439063]
[582, 0.5069914088795158]
[609, 0.5292215265154726]
[554, 0.5633237876439063]
[100, 0.5633237876439063]
[609, 0.5633237876439063]
[669, 0.6083896906554189]
[609, 0.5069914088795158]
[609, 0.5633237876439063]
[663, 0.5633237876439063]
[554, 0.5292215265154726]
[582, 0.5292215265154726]
[100, 0.5633237876439063]
[615, 0.5292215265154726]
[100, 0.6083896906554189]
[609, 0.5633237876439063]
[669, 0.6981674521972911]
[582, 0.547550721589877]
[722, 0.5]
[956, 0.5069914088795158]
[663, 0.5633237876439063]
Gen 4: Best Score = 0.0999, Params = [722, 0.5633237876439063]
[609, 0.5633237876439063]
[669, 0.6083896906554189]
[722, 0.6083896906554189]
[609, 0.5292215265154726]
[663, 0.5633237876439063]
[609, 0.5069914088795158]
[582, 0.5633237876439063]
[582, 0.6023057937488648]
[956, 0.5]
[609, 0.5633237876439063]
[548, 0.5069914088795158]
[657, 0.5292215265154726]
[609, 0.5633237876439063]
[609, 0.5069914088795158]
[722, 0.5292215265154726]
[956, 0.5]
[609, 0.5633237876439063]
[722, 0.5633237876439063]
[669, 0.6083896906554189]
[609, 0.547550721589877]
Gen 5: Best Score = 0.1029, Params = [786, 0.5292215265154726]
[956, 0.55]
[956, 0.5]
[657, 0.5292215265154726]
[609, 0.5292215265154726]
[560, 0.5292215265154726]
[609, 0.547550721589877]
[657, 0.5633237876439063]
[657, 0.5]
[609, 0.5633237876439063]
[956, 0.5]
[548, 0.5069914088795158]
[604, 0.5292215265154726]
[548, 0.5292215265154726]
[609, 0.5292215265154726]
[709, 0.547550721589877]
[609, 0.5069914088795158]
[722, 0.5292215265154726]
[582, 0.5]
[609, 0.5633237876439063]
[786, 0.5292215265154726]
Gen 6: Best Score = 0.0948, Params = [956, 0.55]
[560, 0.5292215265154726]
[956, 0.55]
[657, 0.5292215265154726]
[548, 0.5069914088795158]
[609, 0.5633237876439063]
[956, 0.5]
[879, 0.55]
[548, 0.5069914088795158]
[582, 0.5292215265154726]
[657, 0.5]
[956, 0.5633237876439063]
[548, 0.5292215265154726]
[609, 0.5069914088795158]
[956, 0.55]
[956, 0.55]
[956, 0.55]
[956, 0.5292215265154726]
[956, 0.55]
[548, 0.5]
[609, 0.5292215265154726]
Gen 7: Best Score = 0.1146, Params = [609, 0.5292215265154726]
[956, 0.5]
[860, 0.5069914088795158]
[956, 0.5940000000000001]
[548, 0.55]
[1000, 0.55]
[956, 0.5292215265154726]
[956, 0.5]
[956, 0.5768514639018651]
[548, 0.5]
[548, 0.5182578846323939]
[956, 0.5633237876439063]
[498, 0.5]
[609, 0.5]
[956, 0.5]
[548, 0.5292215265154726]
[548, 0.5292215265154726]
[548, 0.55]
[609, 0.5292215265154726]
[879, 0.55]
[956, 0.55]
Gen 8: Best Score = 0.1475, Params = [548, 0.5182578846323939]
[956, 0.545]
[956, 0.55]
[937, 0.5069914088795158]
[609, 0.5]
[1000, 0.55]
[956, 0.5]
[956, 0.55]
[1000, 0.5]
[956, 0.5768514639018651]
[928, 0.5292215265154726]
[956, 0.5768514639018651]
[609, 0.5768514639018651]
[879, 0.55]
[548, 0.5182578846323939]
[609, 0.5292215265154726]
[956, 0.5526206356786723]
[956, 0.5]
[609, 0.55]
[1000, 0.5292215265154726]
[548, 0.55]
Gen 9: Best Score = 0.1379, Params = [956, 0.5]
[1000, 0.55]
[1000, 0.55]
[860, 0.5768514639018651]
[1000, 0.5292215265154726]
[956, 0.5526206356786723]
[928, 0.5768514639018651]
[1000, 0.5292215265154726]
[956, 0.5768514639018651]
[609, 0.628768095653033]
[1000, 0.5292215265154726]
[609, 0.5]
[956, 0.5768514639018651]
[937, 0.5821436791670199]
[1000, 0.5]
[835, 0.5]
[1000, 0.5]
[1000, 0.5060000000000001]
[956, 0.5]
[956, 0.5]
[928, 0.5292215265154726]
Gen 10: Best Score = 0.1352, Params = [1000, 0.5768514639018651]
[860, 0.5191663175116786]
[928, 0.5768514639018651]
[956, 0.5]
[928, 0.5768514639018651]
[1000, 0.5768514639018651]
[928, 0.5249348321506973]
[956, 0.5526206356786723]
[860, 0.5292215265154726]
[860, 0.5768514639018651]
[860, 0.5292215265154726]
[928, 0.5768514639018651]
[937, 0.5821436791670199]
[956, 0.6023564928897528]
[860, 0.5768514639018651]
[928, 0.5249348321506973]
[1000, 0.5526206356786723]
[956, 0.5821436791670199]
[1000, 0.5292215265154726]
[1000, 0.5292215265154726]
[1000, 0.5]
Gen 11: Best Score = 0.1458, Params = [956, 0.5]
[956, 0.5821436791670199]
[1000, 0.5]
[1000, 0.5768514639018651]
[956, 0.5526206356786723]
[860, 0.5768514639018651]
[1000, 0.5]
[1000, 0.5526206356786723]
[1000, 0.5768514639018651]
[860, 0.5968302865329661]
[1000, 0.54]
[1000, 0.5249348321506973]
[956, 0.55]
[956, 0.6023564928897528]
[1000, 0.5]
[860, 0.5768514639018651]
[900, 0.5]
[860, 0.5821436791670199]
[1000, 0.5]
[1000, 0.6023564928897528]
[956, 0.5]
Gen 12: Best Score = 0.1259, Params = [1000, 0.5721789670442601]
[956, 0.5768514639018651]
[956, 0.5]
[1000, 0.54]
[1000, 0.5249348321506973]
[1000, 0.5821436791670199]
[956, 0.5821436791670199]
[956, 0.5]
[860, 0.5768514639018651]
[956, 0.545]
[910, 0.54]
[956, 0.5249348321506973]
[956, 0.5526206356786723]
[1000, 0.5431155607449992]
[937, 0.5968302865329661]
[956, 0.5]
[1000, 0.54]
[1000, 0.5]
[860, 0.5]
[956, 0.5]
[1000, 0.5721789670442601]
Gen 13: Best Score = 0.1185, Params = [956, 0.5]
[956, 0.5]
[1000, 0.628768095653033]
[956, 0.545]
[956, 0.5768514639018651]
[956, 0.5]
[956, 0.5]
[956, 0.5]
[956, 0.5431155607449992]
[869, 0.5768514639018651]
[956, 0.5768514639018651]
[956, 0.545]
